datetime,city,state,number,country,shape,duration(seconds),duration(hours/min),comments,dateposted,latitude,longitude
10/31/2001 08:25,sevierville,tn,1,United States,circle,35,35seconds,Brillant round craft that hoovered in the morning sky in Tennessee...,11/20/2001,35.8680556,-83.5619444
10/31/2001 17:30,monterey,Canada,1,United States,changing,20,20 seconds,As I was panning my Iphone from the sun to the shore line I captured what appeared to be a RED glowing object with a WHITE center resem,11/21/2010,36.6002778,-121.8936111
10/31/2001 19:00,north scituate,ma,1,United States,disk,60,1 minute,North scituate&#44 halloween&#44 3 friends saw flying saucer&#44 it was gone in seconds.,03-11-03,42.2188889,-70.7861111
10/31/2001 19:11,san antonio,tx,1,United States,formation,240,2 - 4 min/24 ttl,Very large UFO sighted while masked/hiding in rolling cloud bank at sunset.,11/20/2001,29.4238889,-98.4933333
10/31/2001 20:00,arcadia,Canada,1,United States,disk,300,five minutes,A large flying saucer with white lights all around it&#44 in the greater L. A. area&#44,11/20/2001,34.1397222,-118.0344444
10/31/2001 20:00,george town township,mi,1,Unknown,other,1500,25 min,A halloween night sky  and a craft,12/23/2002,42.899973,-85.829905
10/31/2001 20:00,grimsby (uk/england) ?,Unknown,1,Unknown,other,600,10 mins,The objects where T shaped&#44 and travelled north&#44 moved up/down every 10 seconds or so.,11/20/2001,53.567471,-0.080784
10/31/2001 20:00,tinley park,il,1,United States,light,900,15 minutes,Three Red Lights in Illinois,11-02-04,41.5733333,-87.7844444
10/31/2001 20:30,independence,mo,1,United States,light,3,3 seconds,orange and blue streak of light going from east to west very low. if it was a meteorite it was very low and very bright. and 8:30 pm wa,11/20/2001,39.0911111,-94.4152778
10/31/2001 20:35,atlantic,ia,1,United States,sphere,1.5,1-1.5 seconds,A glowing blue ball quickly passed in and out of low hazy clouds right above me.,11/20/2001,41.4036111,-95.0136111
10/31/2001 20:45,nevada,mo,1,United States,other,3,3 seconds,The object was bright neon green and shot through the sky for just a few seconds&#44 then disappeared.,11/20/2001,37.8391667,-94.3544444
10/31/2001 21:15,springfield,mo,1,United States,light,10,10 s,MISSOURI INVESTIGATORS GROUP Report:  White ball of light over Springfield&#44 MO moving south to north very quickly and low at 9:15pm.,11/20/2001,37.2152778,-93.2980556
10/31/2001 22:10,denver,co,1,United States,triangle,10,10 sec,taking pictures of blue moon. of 5 pictures it was it was there long enough for only 1. the 3rd pic. i took,11/20/2001,39.7391667,-104.9841667
10/31/2001 23:30,clinton,ms,1,United States,fireball,5,3-5 seconds,Green fireball seen shooting up from the ground,1/29/2002,32.3413889,-90.3216667
10/31/2002 03:05,orlando,fl,1,United States,triangle,300,5 minutes,Triangular shape in sky with bright lights.,11-04-02,28.5380556,-81.3794444
10/31/2002 06:40,yelm,wa,1,United States,other,600,10 minutes,orange balls that stretched out for about 10 minutes.,11-04-02,46.9422222,-122.6047222
10/31/2002 07:45,seattle,wa,1,United States,light,300,five minuets,Small bright light around north face of Mt. Rainier,11-04-02,47.6063889,-122.3308333
10/31/2002 20:00,edmonds,wa,1,United States,fireball,600,5-10 min,A 747 in halloween costume?not with those moves,11-04-02,47.8108333,-122.3761111
10/31/2002 21:00,houston,tx,1,United States,triangle,30,30 seconds,v shape ufo,12/23/2002,29.7630556,-95.3630556
10/31/2002 22:00,ocala,fl,1,United States,light,900,approx.  15 min,A strange circling glow.,11-04-02,29.1869444,-82.1402778
10/31/2002 22:30,shepherdstown,wv,1,United States,triangle,300,5 minutes,UFO over Shepherdstown&#44 WV on 10/31/02,02-01-07,39.43,-77.8044444
10/31/2003 00:00,sacramento,Canada,1,United States,sphere,2,couples of  seconds,SPEAR  SHAPE OBJECT BLUE IN COLOR,10/31/2003,38.5816667,-121.4933333
